,gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays,Class,Grade_level
461,M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,S,Father,71,81,83,72,Yes,Good,Above-7,M,2
462,M,Iraq,Iraq,MiddleSchool,G-08,A,History,F,Father,72,87,72,89,Yes,Good,Above-7,M,2
463,M,Iraq,Iraq,MiddleSchool,G-08,A,History,S,Father,69,77,83,92,Yes,Good,Above-7,M,2
464,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,85,99,42,90,Yes,Good,Under-7,H,3
465,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,89,96,45,92,Yes,Good,Under-7,H,3
466,F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,80,82,64,58,Yes,Good,Under-7,H,3
467,F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,87,93,63,60,Yes,Good,Under-7,H,3
468,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,15,9,14,80,No,Bad,Above-7,L,1
469,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,9,6,15,85,No,Bad,Above-7,L,1
470,M,Palestine,Jordan,MiddleSchool,G-08,A,History,F,Father,81,86,86,41,Yes,Good,Under-7,M,2
471,M,Palestine,Jordan,MiddleSchool,G-08,A,History,S,Father,78,82,78,53,Yes,Good,Under-7,M,2
472,M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,F,Father,80,87,74,68,Yes,Good,Under-7,M,2
473,M,Palestine,Palestine,MiddleSchool,G-08,A,Geology,S,Father,85,88,79,70,Yes,Good,Under-7,M,2
474,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Father,2,7,4,8,No,Bad,Above-7,L,1
475,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,5,4,5,8,No,Bad,Above-7,L,1
476,F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Father,50,77,14,28,No,Bad,Under-7,M,2
477,F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Father,55,74,25,29,No,Bad,Under-7,M,2
478,F,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Father,30,17,14,57,No,Bad,Above-7,L,1
479,F,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Father,35,14,23,62,No,Bad,Above-7,L,1
480,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,7,4,2,8,No,Bad,Above-7,L,1
481,F,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Father,11,6,10,85,No,Bad,Above-7,L,1
482,M,Iraq,Iraq,MiddleSchool,G-08,A,Geology,S,Father,73,81,75,72,Yes,Good,Above-7,M,2
483,M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,F,Mum,85,83,81,17,Yes,Good,Under-7,M,2
484,M,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,91,87,83,12,Yes,Good,Under-7,M,2
485,M,Jordan,Jordan,MiddleSchool,G-08,A,History,F,Mum,68,79,74,74,Yes,Good,Above-7,M,2
486,M,Jordan,Jordan,MiddleSchool,G-08,A,History,S,Mum,72,74,66,71,Yes,Good,Above-7,M,2
487,M,Iraq,Iraq,lowerlevel,G-02,B,Arabic,S,Mum,73,83,32,33,Yes,Good,Under-7,H,3
488,F,Iraq,Iraq,lowerlevel,G-02,B,Arabic,F,Mum,83,95,39,33,Yes,Good,Under-7,H,3
489,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,21,23,5,25,Yes,Good,Under-7,M,2
490,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,15,7,0,30,No,Bad,Above-7,L,1
491,M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,27,24,2,35,No,Bad,Above-7,L,1
492,F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,61,62,30,90,No,Bad,Above-7,M,2
493,F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,11,14,5,80,No,Bad,Under-7,M,2
494,M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,13,24,4,90,No,Bad,Under-7,M,2
495,M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,4,1,4,50,No,Bad,Above-7,L,1
496,M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,1,3,5,73,Yes,Good,Above-7,L,1
497,F,Jordan,Jordan,MiddleSchool,G-08,A,Geology,S,Mum,81,80,69,73,Yes,Good,Under-7,H,3
498,M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,F,Mum,77,76,65,14,Yes,Good,Above-7,M,2
499,M,Jordan,Jordan,MiddleSchool,G-08,A,Chemistry,S,Mum,83,86,65,11,Yes,Good,Above-7,M,2
